1,2,3,4,5,6,7,num,keyword,
211,False charge of offence made with intent to injure,"Whoever, with intent to cause injury to
any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely
charges any person with having committed an offence, knowing that there is no just or lawful ground for
such proceeding or charge against that person, ",Did the accused institute any criminal proceeding or falsely charge the person for an offence he did not commit?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both; and if such criminal proceeding be instituted on a false charge of an offence punishable with death, 1 [imprisonment for life], or imprisonment for seven years or upwards, shall be punishable with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine"
212,Harbouring offender,"Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment.",DId the accused conceal a person who he thinks is an offender,did the accused do so to prevent the offender's legal punishments,,,,,"if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable with 1 [imprisonment for life], or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment which may extend to one year, and not to ten years, 
shall be punished with imprisonment of the description provided for the offence for a term which may 
extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with 
both."
213,"Taking gift, etc., to screen an offender from punishment","Whoever accepts or attempts to
obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property
to himself or any other person, in consideration of his concealing an offence or of his screening any
person from legal punishment for any offence, or of his not proceeding against any person for the purpose
of bringing him to legal punishment,
",Did the accused accept or agree to accept or attempt to obtain any gift or property from someone to conceal his offence or screen him from legal punishment?,,,,,,"if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable with 3 [imprisonment for life], or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both."
214,Offering gift or restoration of property in consideration of screening offender,"Whoever
gives or causes, or offers or agrees to give or cause, any gratification to any person, or 2
[restores or causes
the restoration of] any property to any person, in consideration of that person's concealing an offence, or
of his screening any person from legal punishment for any offence, or of his not proceeding against any
person for the purpose of bringing him to legal punishment,
",Did the accused offer or agree to offer or give any gifts or property to someone to conceal his offence or screen him from any legal punishment?,,,,,,"if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable with 3 [imprisonment for life] or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both."
215,"Taking gift to help to recover stolen property, etc.—","Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, ",Did the person take any gifts to recover any stolen property?,,,,,,"be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
216,Harbouring offender who has escaped from custody or whose apprehension has been ordered.,"—Whenever any person convicted of a charged with an offence, being in lawful custody for that
offence, escapes from such custody,or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a
certain person to be apprehended for an offence, whoever, knowing of such escape or order for
apprehension, harbours or conceals that person with the intention of preventing him from being
apprehended, shall be punished in the manner following, that is to say,
if a capital offence.—if the offence for which the person was in custody or is ordered to be
apprehended is punishable with death, he shall be punished with imprisonment of either description for a
term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment.—if the offence is punishable
with 1
[imprisonment for life] or imprisonment for ten years, he shall be punished with imprisonment of
either description for a term which may extend to three years, with or without fine;
and if the offence is punishable with imprisonment which may extend to one year and not to ten
years, he shall be punished with imprisonment of the description provided for the offence for a term
which may extend to one-fourth part of the longest term of the imprisonment provided for such offence,
or with fine, or with both.
2
[“Offence” in this section includes also any act or omission of which a person is alleged to have been
guilty out of 3
[India], which, if he had been guilty of it in 3
[India], would have been punishable as an
offence, and for which he is, under any law relating to extradition, 4
*** or otherwise, liable to be
apprehended or detained in custody in 3
[India], and every such act or omission shall, for the purposes of
this section, be deemed to be punishable as if the accused person had been guilty of it in 3
[India].]
",Did the accused harbour or conceal a person who escaped lawful custody ?,Did the accused harbour or conceal a public servant whose apprehension was ordered?,,,,,"if a capital offence.—if the offence for which the person was in custody or is ordered to be apprehended is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—if the offence is punishable with 3 [imprisonment for life] or imprisonment for ten years, he shall be punished with imprisonment of either description for a term which may extend to three years, with or without fine; and if the offence is punishable with imprisonment which may extend to one year and not to ten years, he shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of the imprisonment provided for such offence, or with fine, or with both."
217,". Public servant disobeying direction of law with intent to save person from punishment or
property from forfeiture.—","Whoever, being a public servant, knowingly disobeys any direction of the
law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or
knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a
less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby
to save, any property from forfeiture or any charge to which it is liable by law, .",Is the accused a public servant?,Did the public servant disobey law to save a person from legal punishment he was entitled to?,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,"Whoever, being a public servant, and being as such public
servant, charged with the preparation of any record or other writing, frames that record or writing in a
manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will
thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to
be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowingthat he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law,
",Did the public servant frame incorrect records which caused loss or injury to the public?,Did he do this with an intention to save an offender from legal punishment?,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial
proceeding, any report, order, verdict, or decision which he knows to be contrary to law, ","Did the public servant corruptly make any report,order,verdict or decision against the law during a judicial proceeding?",,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both"
220,"Commitment for trial or confinement by person having authority who knows that he is
acting contrary to law.—","—Whoever, being in any office which gives him legal authority to commit
persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits
any person for trial or to confinement, or keeps any person in confinement, in the exercise of that
authority knowing that in so doing he is acting contrary to law, ",Was the accused legally authorised to commit persons for trial or keep them in confinement?,Did the accused corruptly commit a person for trial or keep him in confinement against the law?,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
221,Intentional omission to apprehend on the part of public servant bound to apprehend,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in
confinement any person charged with or liable to be apprehended for an offence, intentionally omits to
apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in
escaping or attempting to escape from such confinement, shall be punished.",Was the Public servant supposed to arrest or confine the persone accused withthe crime,Did the public servant intentionally omit the arrest of the person accused with the crime,,,,,"shall be punished as follows, that is to say:— with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with death; or with imprisonment of either description for a term which may extend to three years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with 1 [imprisonment for life] or imprisonment for a term which may extend to ten years; or with imprisonment of either description for a term which may extend to two years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with imprisonment for a term less than ten years."
222,"Intentional omission to apprehend on the part of public servant bound to apprehend
person under sentence or lawfully committed.—","Whoever, being a public servant, legally bound as
such public servant to apprehend or to keep in confinement any person under sentence of a Court of
Justice for any offence 2
[or lawfully committed to custody], intentionally omits to apprehend such person,
or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting
to escape from such confinement, ",Was the Public servant supposed to arrest or confine the criminal sentenced by the court of justice ,Did the public servant intentionally omit the arrest of the criminal,,,,,"with 1 [imprisonment for life] or with imprisonment of either description for a term which may extend to fourteen years, with or without fine, if the person in confinement, or who ought to have been apprehended, is under sentence of death; or with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement or who ought to have been apprehended, is subject, by a sentence of a Court of Justice, or by virtue of a commutation of such sentence, to 1 [imprisonment for life] 2*** 3*** 4*** 5*** or imprisonment for a term of ten years, or upwards; or with imprisonment of either description for a term which may extend to three years, or with fine, or with both, if the person in confinement or who ought to have been apprehended is subject by a sentence of a Court of Justice, to imprisonment for a term not extending to ten years 6 [or if the person was lawfully committed to custody"
223,Escape from confinement or custody negligently suffered by public servant,"Whoever,
being a public servant legally bound as such public servant to keep in confinement any person charged
with or convicted of any offence 
[or lawfully committed to custody], negligently suffers such person to
escape from confinement, 
",Did the person escape from confinement or custody beacuse of negligence of the public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both"
224,. Resistance or obstruction by a person to his lawful apprehension.—,"Whoever intentionally
offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with
which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody
in which he is lawfully detained for any such offence, ",Did the accused offer resistance or illegal obstruction to hi lawful apprehension?,Did the accused escape or try to escape from legal custody?,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
225,Resistance or obstruction to lawful apprehension of another person,"Whoever intentionally
offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence,
or rescues or attempts to rescue any other person from any custody in which that person is lawfully
detained for an offence, ","did the accused intentionally offer resistance, illegal obstruction, rescued or attempted to rescue to the arrest of any person liable for an offence",,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both; or, if the person to be apprehended, or the person rescued or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with 1 [imprisonment for life] or imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; or, if the person to be apprehended, or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; or, if the person to be apprehended or rescued, or attempted to be rescued, is liable under the sentence of a Court of Justice, or by virtue of a commutation of such a sentence, to 1 [imprisonment for life], 3*** 4*** 5*** or imprisonment, for a term of ten years, or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; or, if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with 1 [imprisonment for life] or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine"
227,Violation of condition of remission of punishment,"Whoever, having accepted any
conditional remission of punishment, knowingly violates any condition on which such remission was
granted, 
",Did the person violate any condition of remission of his punishment?,,,,,,
228,. Intentional insult or interruption to public servant sitting in judicial proceeding.—,"Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, ",Did the accused insult or cause any interrupton to a public servant?,Was the public servant sitting in any stage of a judicial proceeding?,,,,,"shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
229,Personation of a juror or assessor,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, ",DId the person pretend to be a juror or assesor?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
255,Counterfeiting Government stamp,"—Whoever counterfeits, or knowingly performs any part
of the process of counterfeiting, any stamp issued by Government for the purpose of revenue 
",Did the person counterfeit a government stamp?,,,,,,"e shall be punished with 1 [imprisonment for life] or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
256, Having possession of instrument or material for counterfeiting Government stamp.—,"Whoever has in his possession any instrument or material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue,",Did the person have instruments needed for counterfeiting governmant stamp?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
257,Making or selling instrument for counterfeiting Government stamp.,"Whoever makes or
performs any part of the process of making, or buys, or sells, or disposes or, any instrument for the
purpose of being used, or knowing or having reason to believe that it is intended to be used, for the
purpose of counterfeiting any stamp issued by Government for the purpose of revenue, 
",Did the person make or sell instruments needed for counterfeiting governmant stamp?,,,,,,"imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
258,Sale of counterfeit Government stamp,"Whoever sells, or offers for sale, any stamp which he
knows or has reason to believe to be a counterfeit of any stamp issued by Government for the purpose of
revenue,",Does the person sell counterfeited government stamp?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
259,Having possession of counterfeit Government stamp,"Whoever has in his possession any
stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue,
intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine
stamp,
",Did the person posses a counterfeited government stamp?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
260,Using as genuine a Government stamp known to be counterfeit," Whoever uses as genuine
any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue,",Did the person know that the government stamp was counterfeited?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both"
261,"Effacing writing from substance bearing Government stamp, or removing from document
a stamp used for it, with intent to cause loss to Government.—","—Whoever, fraudulently or with intent to
cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by
Government for the purpose of revenue, any writing or document for which such stamp has been used, or
removes from any writing or document a stamp which has been used for such writing or document, in
order that such stamp may be used for a different writing or document, ",Did the person remove government stamp from any document to cause loss to the government?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
262, Using Government stamp known to have been before used,"Whoever, fraudulently or with
intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the
purpose of revenue, which he knows to have been before used,",Did the person reuse the government stamp?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
263,. Erasure of mark denoting that stamp has been used,"Whoever, fraudulently or with intent
to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of
revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been
used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has
been erased or removed, or sells or disposes of any such stamp which he knows to have been used",Did the person erase the mark which depicted that the stamp has been used?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
264,Fraudulent use of false instrument for weighing,"Whoever, fraudulently uses any instrument
for weighing which he knows to be false, ",Did the person use a false instrument for weighing?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
265, Fraudulent use of false weight or measure.,"Whoever, fraudulently uses any false weight or
false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity
as a different weight or measure from what it is, ",Did the person use a false measure for weighing?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
266,Being in possession of false weight or measure.,"Whoever is in possession of any instrument
for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, *** intending that the same may be fraudulently used, ",Does the person posses false weight or measure?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both"
267,Making or selling false weight or measure,"Whoever makes, sells or disposes of any
instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false,
in order that the same may be used as true, or knowing that the same is likely to be used as true, ",Does the person make or sell false weights or measure?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
269, Negligent act likely to spread infection of disease dangerous to life,"Whoever unlawfully or
negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the
infection of any disease dangerous to life, 
",Did the act spread a dangerous disease which can become a threat to life?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
270,Malignant act likely to spread infection of disease dangerous to life,"Whoever malignantly
does any act which is, and which he knows or has reason the believe to be, likely to spread the infection
of any disease dangerous to life, ",Did the person malignantly spread some dangerous disease?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
271,Disobedience to quarantine rule,"Whoever knowingly disobeys any rule made and
promulgated 2
 for putting any vessel into a state of quarantine, or for
regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for
regulating the intercourse between places where an infectious disease prevails and other places, ",Did the person violate quarantine rules?,,,,,,"punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
272,Adulteration of food or drink intended for sale.,"Whoever adulterates any article of food or
drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink,
or knowing it to be likely that the same will be sold as food or drink, ",Did the accused adulterate food or drink which was intended for sale?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
273,Sale of noxious food or drink.—,"Whoever sells, or offers or exposes for sale, as food or drink,
any article which has been rendered or has become noxious, or is in a state unfit for food or drink,
knowing or having reason to believe that the same is noxious as food or drink, ",Does the person sell any noxious food or drink?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
274,Adulteration of drugs,"Whoever adulterates any drug or medical preparation in such a manner
as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it
noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used
for, any medicinal purpose, as if it had not undergone such adulteration, 
",Did the person adulterate drugs or medicines?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
275,. Sale of adulterated drugs,"Whoever, knowing any drug or medical preparation to have been
adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as
unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the
adulteration,
",Does the person sell adulterated drugs or medicines?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or 
with fine which may extend to one thousand rupees, or with both"
276,Sale of drug as a different drug or preparation.,"Whoever knowingly sells, or offers or
exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a
different drug or medical preparation, ",Does the person sell a particular drug as some other drug or medicine?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
277,Fouling water of public spring or reservoir,"Whoever voluntarily corrupts or fouls the water
of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used,
",Did the person foul public water to make it unfit for drinking?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both"
278,Making atmosphere noxious to health,"Whoever voluntarily vitiates the atmosphere in any
place so as to make it noxious to the health of persons in general dwelling or carrying on business in the
neighbourhood or passing along a public way,
",Did the person intentionally pollute the atmosphere?,,,,,,shall be punished with fine which may extend to five hundred rupees.
279, Rash driving or riding on a public way,"Whoever drives any vehicle, or rides, on any public
way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to
any other person, ",Was the driver rash driving or driving on public way?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
280,Rash navigation of vessel.,"Whoever navigates any vessel in a manner so rash or negligent as
to endanger human life, or to be likely to cause hurt or injury to any other person, ",Was the person rash navigating vessel which could endanger human life?,,,,,,"shall be punished with 
imprisonment of either description for a term which may extend to six months, or with fine which may 
extend to one thousand rupees, or with both"
281,"Exhibition of false light, mark or buoy","Whoever exhibits any false light, mark or buoy,
intending or knowing it to be likely that such exhibition will mislead any navigator, ",Did the person show a false light which could mislead the navigator ?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
282,Conveying person by water for hire in unsafe or overloaded vessel.,"Whoever knowingly or
negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that
vessel is in such a state or so loaded as to endanger the life of that person, ",Did the person convey a person by water on an overloaded vessel?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
283,Danger or obstruction in public way or line of navigation.,"—Whoever, by doing any act, or
by omitting to take order with any property in his possession or under his charge, causes danger,
obstruction or injury to any person in any public way or public line of navigation, ",Did the person obstruct public way orline of navigation?,,,,,,"shall be punished, with fine which may extend to two hundred rupees"
284,Negligent conduct with respect to poisonous substance,"Whoever does, with any poisonous
substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt
or injury to any person,
or knowingly or negligently omits to take such order with any poisonous substance in his possession
as is sufficient to guard against any probable danger to human life from such poisonous substance,

",Did the person negligently use a poisonous substance which could threaten human life or injure any person?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
285,Negligent conduct with respect to fire or combustible matter,"Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person,",Did the person use fire in a rash or negligent manner which could endanger human life?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
286,Negligent conduct with respect to explosive substance.—,"Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, ",Did the person use explosives in a rash or negligent manner which could endanger human life?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
287,Negligent conduct with respect to machinery.—,"Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, ",Did the person use machinery in a negligent manner which could harm human life?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
288,. Negligent conduct with respect to pulling down or repairing buildings.—,"Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, ",Did the person act negligently while repairing or pullling down a building?,,,,,building,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
289,Negligent conduct with respect to animal.—,"Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, ",Did the person conduct his animals in a way that they could harm human life?,,,,,animal,"shall be punished with imprisonment of 69 either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
291,Continuance of nuisance after injunction to discontinue,"Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, ",Did the person repeat the act of public nuisance despite of being imjuncted by public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both"
292,"Sale, etc., of obscene books, etc.—","2 [(1) For the purposes of sub-section (2), a book, pamphlet, paper, writing, drawing, painting, representation, figure or any other object, shall be deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it.]",Did the person sell or make obscene books?,,,,,"photo ,picture , audio, share","shall be punished 1 [on first conviction with imprisonment of either description for a term which may extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and also with fine which may extend to five thousand rupees"
293,"Sale, etc., of obscene objects to young person.—","Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished 1 [on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction,",Did the person sell obscene objects to young people?,,,,,"child,kid, adult,porn","with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees]"
295,"Injuring or defiling place of worship, with intent to insult the religion of any class.—","
Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of
persons with the intention of thereby insulting the religion of any class of persons or with the knowledge
that any class of persons is likely to consider such destruction, damage or defilement as an insult to their
religion, ",Did the accused destroy a place of worship to insult a particular religion?,,,,,masjid  mandir  church  holybook idol religious ,"shall be punished with imprisonment of either description for a term which may extend to two  years, or with fine, or with both"
296,Disturbing religious assembly.—,"Whoever voluntarily causes disturbance to any assembly
lawfully engaged in the performance of religious worship, or religious ceremonies, ",Did the person voluntarily disturb a religious assembly?,,,,,puja peace religious gathering group,"shall be punished with  imprisonment of either description for a term which may extend to one year, or with fine, or with both"
297,"Trespassing on burial places, etc.","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, ",Was the person trespassing on burial places to wound someone's feelings?,,,,,disrespect hply pace emotional ,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both"
298,". Uttering words, etc., with deliberate intent to wound religious feelings.—","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that persons or places any object in the sight of that person, ",Did the person say somethimg to hurt someone's religious feelings?,,,,,action abuse signal,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
